"Locale.","Charter","Magnet.","Title.I.School.","Students.","Teachers.","Free.Lunch.","Reduced.Lunch.","grade","numOfStud2012","passing2012","meanScale2012","lev1Perc2012","lev5Perc2012","numOfStud2013","passing2013","meanScale2013","lev1Perc2013","lev5Perc2013","numOfStud2014","passing2014","meanScale2014","lev1Perc2014","lev5Perc2014","Workbooks.Ordered","Workbooks","Total.Wall.Posts","Unique.wall.posts","unique.log.ins","total.log.ins","teacher.unique.log.ins","teacher.total.log.ins","student.unique.log.ins","student.total.log.ins","total.views","unique.viewers","teacher.total.views","teacher.unique.viewers","student.total.views","student.unique.viewers","Total.Test.Yourself","Unique.Users.who.took.test.yourself","training","integrated","integrated.or.training","test.yourselfs.during.challene","users.with.test.yourself.during.challenge","is.AN","loginsPerExaminee","perc.free.lunch","perc.reduced.lunch","SeniorHigh","middleHigh","logLoginsPerExaminee"
"Rural: Distant","No","No","Yes",1221,78,594,125,9,131,36,387,27,1,67,67,403,10,1,115,41,390,23,0,100,"yes",74,10,52,163,4,21,48,142,114,18,21,3,93,15,1,1,1,1,1,0,0,0,1.42608695652174,0.486486486486487,0.102375102375102,0,0,0.354934299460948
"City: Small","No","Yes","Yes",2380,105,1346,177,9,312,63,402,6,1,257,74,411,5,11,244,61,404,7,4,840,"yes",9,2,206,1019,6,100,200,919,2832,124,362,6,2470,118,281,84,0,1,1,109,62,1,4.18032786885246,0.565546218487395,0.0743697478991597,0,0,1.43038968098512
"Suburb: Midsize","No","Yes","No",2453,134,966,195,9,274,24,380,36,0,163,48,396,17,5,152,62,401,8,2,540,"yes",12,3,209,892,5,51,204,841,1132,109,48,3,1084,106,419,128,1,1,1,107,56,1,5.875,0.393803505911129,0.0794944965348553,0,0,1.77070606003022
"City: Small","No","No","Yes",1619,95,746,193,9,245,24,378,35,0,192,30,384,28,1,150,66,399,16,1,1220,"yes",909,27,235,1219,5,108,230,1111,1985,179,295,4,1690,175,260,43,1,1,1,91,16,1,8.13333333333333,0.460778258184064,0.119209388511427,0,0,2.09597084363105
"City: Large","No","Yes","Yes",505,30,145,58,9,47,100,425,0,15,52,96,432,0,44,48,98,426,0,27,0,"no",0,0,23,98,0,0,23,98,218,17,0,0,218,17,53,8,1,1,1,33,3,0,2.0625,0.287128712871287,0.114851485148515,1,0,0.723918839226699
"Town: Distant","No","No","Yes",1175,69,770,95,9,234,51,393,21,1,307,40,389,25,1,237,30,386,28,0,0,"no",0,0,26,52,11,29,15,23,14,3,7,1,7,2,1,1,0,0,0,0,0,0,0.223628691983122,0.65531914893617,0.0808510638297872,0,0,-1.49776822758301
"City: Midsize","No","Yes","Yes",1642,82,1164,118,9,374,46,392,25,4,334,47,392,24,3,324,57,399,14,2,800,"yes",0,0,57,155,2,22,55,133,251,34,55,2,196,32,14,7,0,1,1,2,1,1,0.481481481481481,0.708891595615104,0.071863580998782,0,0,-0.730887508542792
"Town: Remote","No","No","Yes",531,27,528,0,9,54,57,401,2,0,66,70,409,3,2,96,43,393,16,1,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104166666666667,0.994350282485876,0,0,0,-4.56434819146784
"Suburb: Large","No","No","No",1712,105,892,105,9,270,21,376,42,0,307,28,383,34,2,244,39,389,26,2,1000,"yes",121,34,358,1534,6,66,352,1468,3873,311,193,6,3680,305,257,36,1,1,1,145,15,1,6.29098360655738,0.521028037383178,0.0613317757009346,0,0,1.8391174347281
"Suburb: Large","Yes","No","Yes",1305,97,504,193,9,246,68,405,8,4,238,91,419,2,13,222,86,422,3,22,400,"yes",67,8,205,1056,0,0,205,1056,1058,133,0,0,1058,133,2547,142,1,1,1,2062,112,1,4.76126126126126,0.386206896551724,0.147892720306513,0,0,1.56051260399796
"Suburb: Large","No","Yes","Yes",2676,110,1271,227,9,454,54,398,15,4,413,54,397,19,4,403,57,399,14,3,80,"yes",0,0,125,530,5,19,120,511,2356,85,42,1,2314,84,46,11,1,1,1,6,1,1,1.31761786600496,0.474962630792227,0.0848281016442451,1,0,0.275825459295256
"City: Midsize","No","Yes","Yes",3651,175,1514,155,9,642,48,393,20,5,568,64,403,11,5,381,38,389,24,3,220,"yes",90,12,375,1724,5,102,370,1622,3208,266,245,3,2963,263,684,175,1,1,1,90,25,1,4.52755905511811,0.414680909339907,0.0424541221583128,0,0,1.51018295433876
"City: Small","No","Yes","Yes",970,62,718,78,9,146,54,399,12,3,114,65,404,7,4,167,50,393,18,2,0,"no",0,0,49,226,1,8,48,218,430,36,2,1,428,35,76,15,0,1,1,13,5,0,1.35928143712575,0.74020618556701,0.0804123711340206,0,0,0.306956205064648
"Suburb: Large","No","No","No",2200,103,472,74,9,288,25,382,30,0,235,31,383,32,1,221,47,396,13,1,0,"no",13,4,344,2024,3,69,341,1955,5517,161,359,3,5158,158,845,249,0,1,1,535,226,0,9.16289592760181,0.214545454545455,0.0336363636363636,0,0,2.21516227802289
"Suburb: Large","No","No","Yes",1390,80,560,86,9,190,27,385,25,1,175,24,376,44,0,269,30,384,30,1,160,"yes",22,5,258,1160,11,71,247,1089,1723,146,243,8,1480,138,393,98,1,1,1,81,21,1,4.31598513011152,0.402877697841727,0.0618705035971223,0,0,1.46232560209605
"Rural: Fringe","No","Yes","No",1159,60,681,96,9,180,40,391,19,0,221,40,392,17,1,250,42,392,20,1,530,"yes",1,1,16,55,2,24,14,31,129,12,49,2,80,10,1,1,1,1,1,0,0,0,0.224,0.587575496117342,0.0828300258843831,0,0,-1.4961092271271
"Rural: Fringe","No","No","Yes",2231,116,738,202,9,157,36,388,23,1,238,33,387,27,1,266,37,389,18,0,400,"yes",0,0,52,187,0,0,52,187,235,26,0,0,235,26,16,7,0,1,1,1,1,1,0.706766917293233,0.330793366203496,0.0905423576871358,0,0,-0.34705434595175
"Suburb: Large","No","No","Yes",2113,116,910,262,9,208,19,378,32,1,305,30,384,32,0,347,31,383,27,0,640,"yes",0,0,117,664,9,141,108,523,1461,95,370,9,1091,86,75,26,0,1,1,8,5,1,1.9164265129683,0.430667297681022,0.1239943208708,0,0,0.650462260708995
"Rural: Fringe","No","No","Yes",841,43,570,27,9,212,28,385,26,0,135,30,385,24,0,149,14,378,36,0,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671140939597315,0.677764565992866,0.0321046373365042,0,0,-5.00394630594546
"Suburb: Large","No","No","No",2203,116,320,51,9,168,43,394,15,1,223,47,397,11,3,263,64,403,8,3,0,"no",159,17,185,1219,5,32,180,1187,2398,127,36,3,2362,124,654,86,1,1,1,191,44,0,4.63878326996198,0.145256468452111,0.0231502496595552,0,0,1.53445210554954
"Suburb: Large","No","Yes","Yes",1688,94,1315,137,9,349,22,378,35,0,377,31,383,34,1,383,27,383,30,1,100,"yes",0,0,109,462,0,0,109,462,1271,77,0,0,1271,77,139,46,0,1,1,32,4,1,1.2088772845953,0.779028436018957,0.0811611374407583,0,0,0.189692064905588
"Suburb: Large","No","No","Yes",2060,110,795,161,9,259,51,393,17,1,281,41,389,21,1,320,39,390,21,1,60,"yes",75,3,161,1435,2,11,159,1424,1538,121,19,1,1519,120,2687,103,1,0,1,2611,93,1,4.4875,0.385922330097087,0.0781553398058252,0,0,1.5012957538144
"Rural: Fringe","No","No","No",1863,87,885,179,9,276,37,389,22,0,293,47,395,18,2,216,40,391,24,5,1060,"yes",125,18,276,2379,5,72,271,2307,5761,238,105,4,5656,234,81,30,1,1,1,40,17,1,11.0185185185185,0.475040257648953,0.096081588835212,0,0,2.39957735898136
"Suburb: Midsize","No","Yes","Yes",1315,71,578,67,9,175,55,399,11,6,192,58,398,15,5,216,58,400,12,7,225,"yes",1,1,100,577,1,26,99,551,963,82,34,1,929,81,306,64,0,1,1,183,56,1,2.67592592592593,0.439543726235741,0.0509505703422053,0,0,0.984295460988213
"City: Small","No","No","Yes",1675,99,586,88,9,247,52,395,16,2,186,43,390,21,2,260,44,392,22,5,400,"yes",282,56,215,2206,5,59,210,2147,4405,184,165,3,4240,181,1911,177,0,1,1,719,139,1,8.48846153846154,0.349850746268657,0.0525373134328358,0,0,2.13870777524121
"City: Midsize","No","Yes","No",1710,89,855,90,9,299,36,387,28,2,296,45,392,24,2,207,36,388,27,3,200,"yes",69,2,249,1624,3,22,246,1602,3387,202,15,1,3372,201,513,55,1,1,1,96,29,1,7.85024154589372,0.5,0.0526315789473684,0,0,2.06054430149847
"Rural: Fringe","Yes","No","Yes",375,20,92,42,9,54,89,418,0,11,56,82,415,0,5,55,89,414,2,2,0,"no",0,0,11,58,0,0,11,58,67,9,0,0,67,9,12,1,0,1,1,6,1,0,1.07272727272727,0.245333333333333,0.112,0,0,0.0702042586732486
"City: Large","No","No","Yes",1753,92,864,93,9,266,28,383,29,0,223,29,384,34,3,265,54,399,15,3,380,"yes",7,2,99,490,2,21,97,469,967,78,88,2,879,76,600,45,0,1,1,57,10,1,1.85283018867925,0.492869366799772,0.0530519110096977,0,0,0.616714301808298
"City: Large","No","No","Yes",1818,98,928,89,9,272,21,374,44,0,242,21,377,40,0,288,33,388,25,1,400,"yes",2,2,49,178,3,9,46,169,435,35,34,3,401,32,67,11,0,1,1,13,5,1,0.621527777777778,0.51045104510451,0.048954895489549,0,0,-0.475574674295191
"Suburb: Large","No","No","Yes",1681,91,773,119,9,228,68,406,9,11,198,80,412,6,10,213,77,412,5,8,160,"yes",3,2,16,108,0,0,16,108,61,7,0,0,61,7,0,0,0,0,0,0,0,0,0.511737089201878,0.459845330160619,0.0707911957168352,0,0,-0.669944283480282
"Suburb: Large","No","No","Yes",1613,75,711,143,9,306,53,394,20,2,361,55,397,17,2,291,54,398,15,3,800,"yes",25,1,89,219,3,23,86,196,270,36,96,3,174,33,108,47,0,1,1,0,0,1,0.756013745704467,0.440793552386857,0.0886546807191568,0,0,-0.279695720819131
"Suburb: Midsize","No","No","No",1237,69,491,84,9,219,32,384,27,0,169,43,391,23,2,212,36,387,24,0,0,"no",0,0,54,121,3,9,51,112,202,40,31,3,171,37,41,10,1,0,1,17,4,0,0.575471698113208,0.396928051738076,0.0679062247372676,0,0,-0.552565229938756
"Suburb: Large","No","No","Yes",2688,108,874,308,9,289,80,413,3,9,422,50,393,22,3,413,54,396,17,3,0,"no",0,0,83,302,0,0,83,302,326,46,0,0,326,46,238,62,0,1,1,159,44,0,0.73365617433414,0.32514880952381,0.114583333333333,0,0,-0.309714787451664
"Suburb: Large","No","No","Yes",229,17,173,11,9,42,2,369,60,0,38,11,368,61,0,48,8,371,48,0,0,"no",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.0416666666666667,0.755458515283843,0.0480349344978166,0,0,-3.17805383034795
"Suburb: Midsize","No","Yes","No",2171,95,487,80,9,221,82,413,4,7,387,62,403,14,6,318,58,404,14,8,480,"yes",22,8,183,1079,2,12,181,1067,1926,115,0,0,1926,116,1810,85,0,1,1,119,28,1,3.39622641509434,0.224320589590051,0.0368493781667434,0,0,1.22266493733809
"Town: Fringe","No","No","No",855,45,208,60,9,79,61,399,10,0,131,66,405,9,8,179,61,401,15,7,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558659217877095,0.24327485380117,0.0701754385964912,0,0,-5.18738580584075
"City: Large","No","No","Yes",2268,107,793,102,9,260,16,377,34,0,267,18,377,39,0,335,37,387,25,2,260,"yes",27,6,357,1200,7,96,350,1104,3460,280,110,6,3350,274,132,61,0,1,1,12,3,1,3.58507462686567,0.349647266313933,0.044973544973545,0,0,1.27677929025492
"Suburb: Large","No","No","Yes",1578,92,906,119,9,344,41,391,20,0,284,45,392,22,1,264,56,401,13,5,400,"yes",20,10,151,654,4,37,147,617,833,101,48,4,785,97,287,71,1,1,1,72,37,1,2.48106060606061,0.574144486692015,0.0754119138149556,0,0,0.908686132488936
"Rural: Fringe","No","No","Yes",2372,111,1211,224,9,417,59,401,8,1,373,71,407,6,6,330,83,413,3,5,140,"yes",14,3,210,695,2,29,208,666,407,115,28,2,379,113,450,102,0,1,1,229,73,1,2.10909090909091,0.510539629005059,0.0944350758853288,0,0,0.746257005873894
"Suburb: Large","No","No","No",2017,119,159,51,9,311,74,406,5,4,279,78,409,6,5,374,76,412,6,11,260,"yes",36,6,112,505,4,35,108,470,1520,73,78,2,1442,72,25,7,1,1,1,3,2,1,1.35294117647059,0.0788299454635597,0.0252850768468022,0,0,0.302280871872934
"Suburb: Midsize","No","Yes","Yes",2127,105,745,162,9,395,66,406,9,6,446,67,408,9,9,420,67,408,9,13,665,"yes",78,5,139,619,4,60,135,559,1342,131,64,4,1278,127,31,7,1,1,1,7,1,1,1.47619047619048,0.35025858015985,0.076163610719323,0,0,0.389464766761723
"City: Midsize","No","Yes","Yes",2025,91,1116,171,9,315,65,404,13,7,322,81,416,7,13,280,86,420,4,21,0,"no",1,1,74,363,1,1,73,362,484,47,0,0,484,47,77,15,0,1,1,43,9,0,1.3,0.551111111111111,0.0844444444444444,0,0,0.262364264467491
"City: Small","No","Yes","No",1888,94,555,120,9,218,59,400,11,2,213,64,406,7,9,166,71,410,5,10,360,"yes",0,0,134,417,2,11,132,406,907,97,50,2,857,95,131,40,0,1,1,40,18,1,2.51807228915663,0.29396186440678,0.0635593220338983,0,0,0.923493644168213
"Rural: Fringe","No","No","Yes",2321,112,1292,156,9,431,25,382,28,0,407,41,389,22,2,506,51,398,14,4,0,"no",0,0,10,27,0,0,10,27,27,7,0,0,27,7,13,1,1,1,1,0,0,0,0.0553359683794466,0.556656613528651,0.0672124084446359,0,0,-2.89433215911226
"Rural: Fringe","No","Yes","Yes",1387,72,756,52,9,217,36,388,25,0,269,48,394,20,2,315,45,394,17,2,660,"yes",6,3,75,402,4,65,71,337,683,54,96,2,587,52,81,29,1,1,1,15,8,1,1.27936507936508,0.54506128334535,0.0374909877433309,0,0,0.24636392312105
"City: Small","No","No","No",1753,90,335,103,9,211,79,412,3,6,283,74,409,6,5,312,79,412,4,7,440,"yes",0,0,35,139,3,29,32,110,183,27,44,3,139,24,223,19,1,1,1,214,18,1,0.448717948717949,0.191100969766115,0.0587564175698802,0,0,-0.801360765200178
"Rural: Distant","No","No","Yes",1166,76,618,119,9,126,60,398,12,0,95,51,397,11,0,133,46,391,21,2,500,"yes",85,11,122,972,2,24,120,948,1450,98,58,2,1392,96,1211,99,1,1,1,504,81,1,7.31578947368421,0.530017152658662,0.102058319039451,0,0,1.99003495396425
"Suburb: Midsize","Yes","No","No",166,25,72,20,9,39,67,405,5,3,45,44,392,16,2,44,34,389,27,2,0,"no",0,0,2,3,0,0,2,3,4,2,0,0,4,2,0,0,1,1,1,0,0,0,0.0909090909090909,0.433734939759036,0.120481927710843,0,0,-2.39789527279837
"City: Large","No","Yes","Yes",1074,60,399,88,9,176,28,384,31,1,149,26,385,23,1,155,34,387,28,1,0,"no",0,0,70,306,2,17,68,289,518,50,45,2,473,48,192,17,0,1,1,44,5,0,1.98064516129032,0.371508379888268,0.0819366852886406,0,0,0.683422630667951
"Suburb: Midsize","No","Yes","Yes",1683,89,630,183,9,291,40,387,30,0,279,52,397,17,3,272,34,388,21,0,0,"no",0,0,20,46,3,3,17,43,51,12,4,2,47,10,10,4,0,0,0,0,0,0,0.172794117647059,0.374331550802139,0.10873440285205,0,0,-1.75565446458594
"City: Large","No","No","Yes",1998,107,838,141,9,144,23,381,31,0,212,20,375,42,2,252,27,385,27,0,1520,"yes",1,1,46,185,4,76,42,109,387,31,203,4,184,27,27,4,0,1,1,20,4,1,0.738095238095238,0.419419419419419,0.0705705705705706,0,0,-0.303682413798222
"Suburb: Large","No","No","Yes",3112,146,1455,241,9,569,60,401,14,5,400,56,401,16,10,386,59,404,13,11,0,"no",1,1,55,265,4,14,51,251,682,43,9,3,673,40,62,15,1,1,1,13,3,0,0.689119170984456,0.46754498714653,0.0774421593830334,0,0,-0.372341060683132
"Rural: Distant","No","No","Yes",340,23,160,45,9,67,79,410,4,12,73,70,410,10,14,70,83,412,0,4,70,"yes",5,2,50,151,1,8,49,143,111,20,7,1,104,19,14,7,1,0,1,0,0,0,2.17142857142857,0.470588235294118,0.132352941176471,1,0,0.775385278796917
"Rural: Fringe","No","No","Yes",1052,79,640,94,9,136,29,385,25,1,128,38,391,13,0,114,35,388,22,0,0,"no",86,13,137,890,4,57,133,833,1531,122,12,3,1519,119,927,82,1,1,1,158,24,0,7.81578947368421,0.608365019011407,0.0893536121673004,1,1,2.05614597907631
"Suburb: Large","Yes","No","No",1102,68,365,58,9,170,52,399,7,0,191,66,404,4,3,182,62,402,8,4,220,"yes",108,2,23,174,0,0,23,174,66,13,0,0,66,13,8,4,0,0,0,6,4,0,0.961538461538462,0.331215970961887,0.0526315789473684,0,0,-0.0392207131532813
"Suburb: Large","No","Yes","Yes",3306,157,2096,401,9,520,38,388,25,2,658,55,398,19,5,508,51,396,18,5,864,"yes",4,2,308,1571,12,40,296,1531,5001,202,20,4,4981,198,402,71,1,1,1,193,25,1,3.09448818897638,0.633998790078645,0.12129461584997,1,0,1.12962252541067
"City: Midsize","No","Yes","Yes",1927,89,623,111,9,301,57,400,16,7,326,48,395,22,4,245,56,400,17,9,401,"yes",450,10,80,288,3,13,77,275,361,46,63,2,298,44,31,21,0,1,1,8,6,1,1.17959183673469,0.323300467047224,0.0576024909185262,0,0,0.165168477567705
"Suburb: Large","No","No","Yes",2009,110,714,183,9,153,24,379,31,0,227,30,384,29,1,237,38,390,24,2,480,"yes",0,0,38,115,4,32,34,83,308,28,67,4,241,24,3,3,0,1,1,0,0,1,0.489451476793249,0.355400696864112,0.0910900945744151,0,0,-0.714469950028766
"Suburb: Large","Yes","No","No",747,37,254,48,9,180,41,393,18,4,168,47,394,17,2,170,66,404,12,2,0,"no",0,0,4,12,0,0,4,12,15,3,0,0,15,3,0,0,0,1,1,0,0,0,0.0764705882352941,0.340026773761714,0.0642570281124498,0,0,-2.57084907958872
"Suburb: Large","No","No","No",2344,117,1532,287,9,340,19,377,38,0,398,34,385,34,5,456,46,390,25,3,200,"yes",226,3,227,965,7,73,220,892,1774,131,258,6,1516,125,251,59,1,1,1,48,11,1,2.11842105263158,0.65358361774744,0.122440273037543,0,0,0.750671024698132
"Suburb: Large","No","No","No",2208,125,637,143,9,435,58,400,10,2,447,65,401,14,4,404,62,401,13,5,0,"no",0,0,9,24,0,0,9,24,63,7,0,0,63,7,8,4,1,1,1,0,0,0,0.0618811881188119,0.288496376811594,0.0647644927536232,1,0,-2.78253905309295
"City: Midsize","No","Yes","No",1399,99,850,81,9,115,16,371,44,1,211,14,370,50,0,223,22,377,38,0,1040,"yes",26,5,232,1050,5,25,227,1025,2264,192,26,2,2238,191,150,62,1,1,1,74,36,1,4.71300448430493,0.607576840600429,0.0578984989278056,0,0,1.55032559941683
"Town: Distant","No","Yes","Yes",1027,60,853,38,9,168,18,374,41,0,216,38,388,24,1,205,35,386,26,0,140,"yes",0,0,16,77,1,1,15,76,217,12,0,0,217,12,3,2,0,0,0,1,1,1,0.380487804878049,0.830574488802337,0.0370009737098345,0,0,-0.966301152448816
"Suburb: Large","No","No","Yes",1588,90,1048,150,9,289,35,385,28,1,327,51,394,20,3,313,58,400,11,4,840,"yes",505,11,327,2469,7,197,320,2272,4701,197,394,6,4307,191,598,160,0,1,1,402,143,1,7.89137380191693,0.659949622166247,0.0944584382871537,0,0,2.06577023908187
"Rural: Fringe","No","No","No",345,23,194,29,9,56,13,385,18,0,19,26,388,21,0,29,83,414,3,10,60,"yes",50,3,37,280,0,0,37,280,345,28,0,0,345,28,61,19,0,1,1,14,10,1,9.68965517241379,0.56231884057971,0.0840579710144927,0,0,2.27105883934727
"Suburb: Large","No","No","No",1482,66,193,57,9,180,54,396,12,1,207,51,395,16,1,210,66,402,9,1,220,"yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00476190476190476,0.130229419703104,0.0384615384615385,0,0,-5.34710753071747
"Suburb: Large","No","No","No",1957,96,347,86,9,310,66,405,11,8,359,78,413,4,10,308,71,407,6,4,1250,"yes",0,0,357,1396,4,37,353,1359,2072,213,88,3,1984,210,198,91,0,1,1,26,11,1,4.53571428571429,0.177312212570261,0.0439448134900358,0,0,1.51198257628339
"Suburb: Large","No","Yes","No",1271,76,702,101,9,127,65,405,8,3,90,50,392,20,1,95,51,396,16,1,180,"yes",41,8,87,377,4,20,83,357,729,53,26,3,703,50,188,21,1,1,1,58,16,1,3.97894736842105,0.552321007081039,0.0794649881982691,0,0,1.38101730401905
"Suburb: Large","No","No","No",2281,121,337,144,9,276,65,402,8,1,247,70,406,7,5,208,53,396,18,4,480,"yes",0,0,61,464,0,0,61,464,1141,52,0,0,1141,52,0,0,0,1,1,0,0,1,2.23557692307692,0.147742218325296,0.0631302060499781,0,0,0.804499325886038
"Suburb: Midsize","No","No","Yes",2239,121,1421,182,9,502,46,393,19,1,482,43,392,19,2,475,34,386,28,1,140,"yes",69,4,48,170,4,19,44,151,233,26,38,2,195,24,6,6,1,1,1,0,0,1,0.36,0.634658329611434,0.0812862885216615,1,0,-1.02165124753198
"Suburb: Large","No","Yes","Yes",1293,60,868,113,9,216,46,393,21,2,298,40,389,23,1,257,46,392,23,2,680,"yes",19,3,182,1008,3,5,179,1003,2112,173,6,2,2106,171,136,32,0,1,1,59,17,1,3.92607003891051,0.671307037896365,0.0873936581593194,0,0,1.36763893545839
"Rural: Fringe","No","No","Yes",609,39,420,48,9,74,18,378,36,0,77,12,370,56,0,63,5,370,49,0,0,"no",0,0,3,4,0,0,3,4,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0.0793650793650794,0.689655172413793,0.0788177339901478,0,0,-2.53369681395743
"Rural: Fringe","No","No","Yes",1301,71,834,68,9,192,56,400,7,2,261,34,386,30,0,285,28,385,29,1,340,"yes",2,2,30,59,0,0,30,59,67,11,0,0,67,11,1,1,0,1,1,0,0,0,0.210526315789474,0.641045349730976,0.0522674865488086,1,0,-1.55814461804655
"Rural: Fringe","No","No","No",1850,98,700,165,9,243,41,389,21,1,277,48,392,21,1,281,58,399,13,1,0,"no",0,0,9,64,0,0,9,64,25,4,0,0,25,4,30,5,1,1,1,25,3,0,0.231316725978648,0.378378378378378,0.0891891891891892,0,0,-1.46396739943811
"Rural: Distant","No","No","Yes",311,18,190,24,9,33,21,382,36,0,33,9,379,30,0,23,17,377,30,0,120,"yes",0,0,2,5,2,5,0,0,5,2,5,2,0,0,1,1,0,1,1,0,0,0,0.260869565217391,0.610932475884244,0.0771704180064309,0,1,-1.34373474670109
"Rural: Fringe","No","No","Yes",1797,102,867,193,9,244,44,393,12,0,345,47,392,22,0,360,45,394,14,0,0,"no",2,1,20,58,0,0,20,58,119,13,0,0,119,13,10,4,0,1,1,4,2,0,0.163888888888889,0.482470784641068,0.10740122426266,0,0,-1.80856658754444
"Suburb: Midsize","No","No","Yes",1351,76,654,115,9,254,41,390,19,2,238,29,384,29,1,196,31,384,29,0,215,"yes",117,9,53,140,4,6,49,134,187,37,10,4,177,33,56,23,0,0,0,16,2,1,0.719387755102041,0.484085862324204,0.0851221317542561,0,0,-0.329354768852349
"Suburb: Large","No","Yes","Yes",1700,100,1253,137,9,355,37,389,24,2,359,55,397,17,3,323,64,402,16,7,220,"yes",0,0,69,440,8,62,61,378,1110,53,55,3,1055,50,46,13,1,1,1,11,2,1,1.36532507739938,0.737058823529412,0.0805882352941176,1,0,0.311392552224189
"Suburb: Large","No","No","Yes",2912,119,2015,350,9,574,50,396,16,3,641,58,400,13,3,468,54,399,15,7,200,"yes",0,0,114,523,3,3,111,520,1621,91,0,0,1621,91,74,51,1,1,1,56,43,1,1.11965811965812,0.691964285714286,0.120192307692308,1,0,0.113023388403395
"Suburb: Large","No","Yes","Yes",2973,150,2301,301,9,550,38,386,28,1,558,42,388,26,1,388,44,392,22,2,280,"yes",0,0,83,506,9,60,74,446,873,64,55,4,818,60,30,15,1,1,1,7,3,1,1.30670103092784,0.773965691220989,0.101244534140599,1,0,0.26750566396791
"Rural: Distant","No","No","Yes",805,43,327,70,9,126,52,401,13,10,104,69,406,10,10,100,58,399,16,3,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.406211180124224,0.0869565217391304,1,1,-4.60517018598809
"City: Large","No","Yes","Yes",1815,109,952,163,9,183,15,370,47,0,250,24,380,35,3,250,22,377,40,0,442,"yes",3,2,167,2516,6,70,161,2446,7885,156,141,6,7744,150,140,81,0,1,1,0,0,1,10.068,0.524517906336088,0.0898071625344353,0,0,2.30936207727307
"Suburb: Large","No","No","Yes",1920,90,1082,211,9,317,48,394,15,2,499,44,392,22,3,474,53,397,14,2,2245,"yes",18,12,354,1672,6,63,348,1609,2810,195,84,5,2726,190,1128,214,0,1,1,188,73,1,3.5295358649789,0.563541666666667,0.109895833333333,0,0,1.26116637929175
"Town: Distant","No","No","Yes",447,33,230,47,9,70,54,397,20,3,58,62,403,3,2,64,64,401,8,0,0,"no",39,9,61,194,1,13,60,181,80,16,1,1,79,15,89,39,0,1,1,81,38,0,3.046875,0.514541387024608,0.105145413870246,0,0,1.11411647520407
"Suburb: Large","No","Yes","Yes",1864,114,1579,78,9,424,21,377,42,0,351,38,389,25,1,328,45,391,24,2,100,"yes",0,0,25,127,8,23,17,104,322,15,20,6,302,9,78,7,1,1,1,53,4,1,0.390243902439024,0.847103004291845,0.0418454935622318,1,0,-0.940983344464527
"City: Midsize","No","No","Yes",104,14,96,5,9,10,20,380,20,0,13,8,362,62,0,11,18,364,73,0,100,"yes",0,0,12,20,1,2,11,18,55,12,2,1,53,11,0,0,0,1,1,0,0,0,1.90909090909091,0.923076923076923,0.0480769230769231,0,0,0.646627164925052
"Suburb: Large","No","No","No",1134,66,648,103,9,153,68,406,7,5,184,70,406,9,6,185,68,405,10,5,1180,"yes",123,7,110,340,5,18,105,322,645,73,27,4,618,69,104,33,1,1,1,34,13,1,1.84324324324324,0.571428571428571,0.0908289241622575,0,0,0.611526652205192
"City: Midsize","No","Yes","Yes",1697,88,658,261,9,363,61,400,9,1,322,65,403,10,7,242,49,396,16,2,0,"no",0,0,63,661,0,0,63,661,1283,60,0,0,1283,60,595,43,0,1,1,91,8,0,2.73553719008264,0.3877430760165,0.153800824985268,0,0,1.00632782978032
"City: Small","Yes","No","Yes",1104,77,473,155,9,48,69,406,6,4,73,44,393,19,1,36,64,407,6,6,0,"no",0,0,2,2,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0.0833333333333333,0.428442028985507,0.140398550724638,0,0,-2.484906649788
"Town: Distant","No","No","Yes",1407,76,1244,51,9,321,28,380,36,1,330,45,393,20,3,258,44,392,19,2,0,"no",18,4,201,451,3,23,198,428,1019,86,103,1,916,85,63,28,0,1,1,27,15,0,1.75193798449612,0.884150675195451,0.0362473347547974,0,0,0.560722594910614
"Suburb: Midsize","Yes","No","No",677,NA,69,32,9,49,55,401,2,0,51,53,398,20,4,63,48,396,8,2,0,"no",0,0,4,20,0,0,4,20,45,4,0,0,45,4,8,2,1,0,1,0,0,0,0.333333333333333,0.10192023633678,0.0472673559822747,0,0,-1.09861228866811
"Suburb: Large","Yes","No","Yes",763,45,517,37,9,241,48,397,22,7,220,46,392,24,1,207,70,409,11,18,660,"yes",1,1,23,73,1,1,22,72,156,20,1,1,155,19,10,4,0,0,0,4,2,1,0.357487922705314,0.677588466579292,0.0484927916120577,0,0,-1.0286537000612
"Town: Distant","No","No","Yes",765,37,443,62,9,132,45,394,14,1,90,59,401,8,1,64,48,398,11,0,0,"no",0,0,38,89,0,0,38,89,251,35,0,0,251,35,2,2,0,1,1,0,0,0,1.40625,0.579084967320261,0.0810457516339869,0,0,0.340926586970593
