"Locale.","Charter","Magnet.","Title.I.School.","Students.","Teachers.","Free.Lunch.","Reduced.Lunch.","grade","numOfStud2012","passing2012","meanScale2012","lev1Perc2012","lev5Perc2012","numOfStud2013","passing2013","meanScale2013","lev1Perc2013","lev5Perc2013","numOfStud2014","passing2014","meanScale2014","lev1Perc2014","lev5Perc2014","Workbooks.Ordered","Workbooks","Total.Wall.Posts","Unique.wall.posts","unique.log.ins","total.log.ins","teacher.unique.log.ins","teacher.total.log.ins","student.unique.log.ins","student.total.log.ins","total.views","unique.viewers","teacher.total.views","teacher.unique.viewers","student.total.views","student.unique.viewers","Total.Test.Yourself","Unique.Users.who.took.test.yourself","training","integrated","integrated.or.training","test.yourselfs.during.challene","users.with.test.yourself.during.challenge","is.AN","loginsPerExaminee","perc.free.lunch","perc.reduced.lunch","SeniorHigh","middleHigh","logLoginsPerExaminee"
"Suburb: Small","No","No","Yes",947,54,569,88,9,83,87,418,2,14,247,43,392,22,4,198,58,398,19,5,0,"no",0,0,29,37,0,0,29,37,8,5,0,0,8,5,2,1,0,1,1,2,1,0,0.191919191919192,0.600844772967265,0.0929250263991552,0,0,-1.65068087096815
"Town: Distant","No","No","Yes",1249,78,434,89,9,167,57,399,8,1,195,64,404,6,3,256,56,398,11,2,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390625,0.347477982385909,0.0712570056044836,1,0,-5.54517744447956
"Rural: Distant","No","No","Yes",1372,81,542,84,9,51,67,404,6,2,53,66,405,0,2,40,50,401,3,0,200,"yes",53,4,29,145,1,1,28,144,286,24,5,1,281,23,48,14,1,1,1,14,4,1,3.65,0.395043731778426,0.0612244897959184,0,0,1.2947271675944
"Rural: Distant","No","No","Yes",1115,52,328,63,9,112,21,382,29,0,64,19,376,34,0,95,33,388,20,0,0,"no",0,0,16,123,3,5,13,118,422,13,7,2,415,11,40,3,0,1,1,1,1,0,1.30526315789474,0.294170403587444,0.0565022421524664,1,1,0.266404674004496
"Suburb: Large","No","Yes","Yes",1835,91,938,232,9,404,40,387,29,3,277,56,401,21,13,256,75,412,9,18,760,"yes",13,5,94,491,8,85,86,406,2251,63,181,5,2070,58,21,4,1,1,1,9,2,1,1.921875,0.511171662125341,0.126430517711172,1,0,0.653301272012746
"Suburb: Large","No","No","No",1763,93,383,76,9,294,66,402,14,6,284,72,409,6,7,239,76,410,4,6,315,"yes",7,3,230,763,7,52,223,711,1699,164,107,4,1592,160,78,35,0,1,1,43,13,1,3.19665271966527,0.21724333522405,0.0431083380601248,0,0,1.16210423723501
"Suburb: Large","No","No","No",2030,133,790,162,9,391,48,395,16,2,408,42,390,21,1,384,37,391,18,2,425,"yes",6,3,47,169,2,77,45,92,390,35,249,2,141,33,25,10,1,1,1,15,5,1,0.442708333333333,0.389162561576355,0.0798029556650246,1,0,-0.814844115537465
"City: Small","No","No","Yes",1325,67,616,136,9,338,69,408,9,9,369,47,395,17,4,286,49,393,19,1,105,"yes",16,6,50,186,5,42,45,144,253,33,89,4,164,29,18,7,1,1,1,3,2,1,0.653846153846154,0.464905660377358,0.102641509433962,0,0,-0.424883193965266
"Suburb: Large","No","No","No",1371,71,823,116,9,320,45,391,22,2,271,41,389,23,1,185,57,402,7,1,240,"yes",0,0,2,9,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540540540540541,0.600291757840992,0.0846097738876732,0,0,-2.91777073208428
"City: Midsize","No","No","Yes",1606,89,578,124,9,163,66,403,6,1,158,54,397,9,1,127,69,406,5,3,0,"no",31,3,80,328,5,32,75,296,316,39,17,4,299,35,294,60,0,1,1,56,26,0,2.59055118110236,0.359900373599004,0.0772104607721046,0,0,0.951870664306781
"Rural: Distant","No","Yes","Yes",684,44,303,110,9,85,71,404,4,0,70,71,409,3,6,64,73,408,0,3,104,"yes",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.442982456140351,0.160818713450292,0,0,-3.46573590279973
"Rural: Fringe","No","Yes","No",1533,83,739,136,9,226,69,408,5,8,320,52,398,15,6,347,43,389,28,3,620,"yes",2,1,251,759,5,79,246,680,391,98,57,4,334,94,940,195,1,1,1,368,81,1,2.19020172910663,0.482061317677756,0.0887149380300065,0,0,0.783993653333517
"Suburb: Large","Yes","No","No",98,4,27,7,9,19,63,401,16,11,45,58,398,18,4,36,50,405,8,8,0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0277777777777778,0.275510204081633,0.0714285714285714,0,0,-3.58351893845611
"Rural: Distant","No","No","Yes",519,36,263,81,9,28,61,399,0,0,19,26,387,32,0,26,27,386,31,0,0,"no",0,0,3,16,2,14,1,2,8,3,6,2,2,1,2,1,0,1,1,0,0,0,0.653846153846154,0.506743737957611,0.15606936416185,0,0,-0.424883193965266
"City: Midsize","No","Yes","Yes",2053,89,1409,148,9,296,58,400,10,1,334,46,393,18,1,342,35,388,23,1,480,"yes",1,1,220,788,6,37,214,751,1071,138,82,6,989,132,171,61,0,1,1,62,29,1,2.30701754385965,0.686312713102776,0.0720896249391135,0,0,0.835955583783269
"Suburb: Large","No","No","No",2320,123,605,125,9,133,32,386,29,2,185,33,390,18,2,184,35,389,24,2,505,"yes",10,2,85,499,3,39,82,460,1378,74,352,3,1026,71,58,12,0,1,1,11,4,1,2.71739130434783,0.260775862068966,0.0538793103448276,0,0,0.999672340813206
"Rural: Fringe","No","No","Yes",414,30,195,40,9,83,92,424,2,27,79,80,420,6,20,54,91,417,0,11,240,"yes",22,2,20,76,2,40,18,36,203,13,130,2,73,11,2,1,1,1,1,0,0,1,1.42592592592593,0.471014492753623,0.0966183574879227,0,0,0.354821375289409
"Suburb: Large","No","Yes","No",1487,98,802,102,9,197,24,380,32,0,237,34,383,38,2,273,31,383,28,0,480,"yes",342,39,402,6861,5,76,397,6785,14273,372,104,4,14169,368,830,137,1,1,1,236,70,1,25.1355311355311,0.539340954942838,0.0685944855413584,0,0,3.22428242823344
