Charter,Magnet,Title_I_School,locationRural,locationSize,Students,SeniorHigh,numOfStud2014,meanScale2012,lev1Perc2012,lev5Perc2012,perc_free_lunch,perc_reduced_lunch,logLoginsPerExaminee,meanScale2014,GPS,strataGPS
0,0,0,0,1,1650,0,0.7103192283837082,1.3212036794928488,-1.1898034796485282,0.9070340019466278,-1.100755243076389,-0.3542211293617711,0.524585936606208,407.0,0.17090687409931346,2
0,1,1,0,0,638,0,-1.2141751870715491,0.3390205851285768,-0.8535057137920357,-0.424392055956679,1.161867579406168,-1.020642274075252,1.08518926833597,392.0,0.19905781181198837,2
1,0,1,0,0,401,0,-1.416359425271129,-0.5538731370207614,0.4916853496339342,-0.6906772675373404,-0.886782354283185,-2.2125508256931368,0.810930216216329,386.0,0.14734093384409036,1
0,0,1,0,1,293,0,-1.6335202737077144,-1.5360562313850334,1.6687275301316578,0.1081783672046436,1.8978700893895455,0.4477250924574572,1.6902900090632,383.0,0.13712822636207778,1
0,0,0,1,2,1684,1,0.3284156673400578,1.231914307277915,-0.8535057137920357,1.4396044251079505,-1.9774246013021728,-1.4659683138548978,-3.15344801954575,405.0,0.1366565577543067,1
0,0,1,0,0,2477,0,0.313439057103052,-0.9110306258804968,0.9120575569545498,0.1081783672046436,-0.1235774337229949,0.5560806346476382,-0.322944084420161,386.0,0.18206012790973525,2
0,0,1,1,2,604,0,-1.536172307167176,-0.4645837648058275,0.0713131423133186,-0.6906772675373404,0.5311577692718892,0.1985326939644505,1.37845118365886,414.0,0.12946177846379936,1
0,0,1,0,0,2045,1,1.3992432992859791,-0.8217412536655628,0.6598342325621804,-0.424392055956679,1.0639674456378343,1.78503949308415,-0.508469910073532,396.0,0.2198776286587648,4
0,1,1,0,1,1041,0,0.2460443110365254,-0.1074262759460922,0.1553875837774417,-0.1581068443760176,-0.0755458334131407,-0.3188827352782646,-4.90527477843843,399.0,0.0075199518629663386,0
0,0,1,0,0,1269,0,-0.1508358602441307,-0.4645837648058275,0.323536466705688,-0.424392055956679,0.7478705793774186,0.7158454611958353,0.323885121115742,386.0,0.2187643020422291,3
0,1,1,0,0,826,0,-0.9296195925684372,-0.4645837648058275,0.1553875837774417,-0.424392055956679,1.5012764544192907,-1.5062164459222624,1.91117997045418,392.0,0.14624921229858018,1
0,1,0,0,0,2910,0,1.1970590610863998,-1.0003199980954305,1.080206439882796,-0.6906772675373404,0.1188854527532206,-0.02733774181851,2.77996072645227,391.0,0.15038950999861406,1
0,0,1,0,0,1702,0,0.3658571929325726,-1.8039243480298348,1.836876413059904,-0.6906772675373404,0.7774773312364199,1.485872080546688,-0.435635985741528,385.0,0.20616214287569073,3
0,0,0,0,2,1127,0,-0.6001341673543076,0.7854674462032459,-0.3490590650072969,-0.1581068443760176,-0.6800480501913497,-0.9759287760929776,-3.66995144422842,399.0,0.07653782641472097,0
0,0,0,1,2,2078,0,-0.4578563701027516,-0.732451881450629,0.6598342325621804,-0.6906772675373404,-1.3875418986249777,-1.1340408004576945,2.08581324465253,387.0,0.11395260000752237,0
0,1,1,0,2,2092,0,1.0772461791903525,-0.9110306258804968,1.080206439882796,-0.6906772675373404,0.3372870874187775,-0.3447553436118613,-0.504720066203506,401.0,0.21498120949342375,3
0,0,1,0,0,1030,0,-1.019479253990473,-0.5538731370207614,0.4076109081698111,-0.424392055956679,-0.2633451357500035,0.053601614776055,1.93166489391926,412.0,0.1258808847950997,1
0,1,1,0,0,604,0,-1.259105017782567,1.9462292849973857,-1.2738779211126512,1.1733192135272892,-0.3003786520562085,1.9330745857762104,0.309188277672745,427.0,0.2192542577353324,4
0,0,0,0,1,1567,1,0.6279478720801758,-0.3752943925908937,0.0713131423133186,-0.6906772675373404,0.0867624136869697,-0.2010304320788933,-1.6605672589567,397.0,0.184526899049794,2
0,0,1,0,2,947,0,-0.2931136574956867,2.1248080294272533,-1.3579523625767744,3.037315694591918,0.8045938622543912,0.5848322988957302,-1.65068087096815,398.0,0.21907331443497205,4
0,0,1,0,2,1249,1,0.1412080393774841,0.4283099573435107,-0.8535057137920357,-0.424392055956679,-0.5491610680789917,-0.1245673957207578,-5.54517744447956,398.0,0.008537933120907256,0
0,0,1,1,2,1372,0,-1.4762658662191523,0.8747568184181798,-1.021654596720282,-0.1581068443760176,-0.2950142337311585,-0.4530267284061595,1.2947271675944,401.0,0.15696909616216959,1
0,0,1,1,2,1115,1,-1.0644090847014902,-1.0896093703103642,0.9120575569545498,-0.6906772675373404,-0.8339868633498402,-0.607630652221484,0.266404674004496,388.0,0.2038681099494672,3
0,1,1,0,0,1835,1,0.1412080393774841,-0.6431625092356952,0.9120575569545498,0.1081783672046436,0.3254647086583659,1.6817846015520534,0.653301272012746,412.0,0.22505667341265206,4
0,0,0,0,0,1763,0,0.013906852362934,0.6961780739883121,-0.3490590650072969,0.9070340019466278,-1.2450130986117118,-1.046140083372031,1.16210423723501,410.0,0.15729357017591244,1
0,0,0,0,0,2030,1,1.0997110945458617,0.0711524684837753,-0.1809101820790507,-0.1581068443760176,-0.3264377014197028,0.1552225500525254,-0.814844115537465,391.0,0.21984770991131425,4
0,0,1,0,2,1325,0,0.3658571929325726,1.231914307277915,-0.7694312723279125,1.7058896366886118,0.0782625089169061,0.9029448834716716,-0.424883193965266,393.0,0.21178808737501784,3
0,0,0,0,0,1371,0,-0.3904616240362251,-0.2860050203759599,0.323536466705688,-0.1581068443760176,0.8016390671448062,0.3125952705024905,-2.91777073208428,402.0,0.058109082891861424,0
