"","percentile","logLoginsPerExaminee","meanScale2014","SE","lowerCL","upperCL"
"73%",73,1.20948056636027,398.38144129304,0.821727805415955,396.770854794424,399.992027791655
"74%",74,1.25911211745835,398.392200327868,0.816231715560807,396.792386165368,399.992014490367
"75%",75,1.28126625958979,398.396793717537,0.814430021222602,396.800510875941,399.993076559133
"76%",76,1.32089553783041,398.404688373885,0.812320007054104,396.812541160059,399.996835587711
"77%",77,1.36551513750191,398.413082807233,0.811812319280525,396.821930661443,400.004234953023
"78%",78,1.3931997974739,398.41802797211,0.812579387814988,396.825372371993,400.010683572227
"79%",79,1.43128762148145,398.424501954564,0.815092241708087,396.826921160816,400.022082748312
"80%",80,1.45765297832808,398.428759933597,0.817875659210601,396.825723641544,400.03179622565
"81%",81,1.50167453413946,398.435461888257,0.82453621056069,396.819370915558,400.051552860956
"82%",82,1.52335885057206,398.438575793356,0.828781615496233,396.814163826983,400.062987759728
"83%",83,1.53459054364827,398.440140064936,0.831238511731455,396.810912581942,400.06936754793
"84%",84,1.5602462995233,398.443588763056,0.837524203105295,396.80204132497,400.085136201143
"85%",85,1.63908347498272,398.453102860678,0.862892265812203,396.761834019686,400.14437170167
"86%",86,1.66842313294603,398.456226191245,0.874730341677218,396.741754721558,400.170697660932
"87%",87,1.70893764963752,398.460166950844,0.893256447840248,396.709384313077,400.210949588611
"88%",88,1.72548973720179,398.461652717966,0.901556493776328,396.694601990165,400.228703445768
"89%",89,1.77021530431103,398.465307003578,0.926108975829186,396.650133410953,400.280480596203
"90%",90,1.83487550903569,398.469659897372,0.967060335221059,396.574221640339,400.365098154405
"91%",91,1.90765261917076,398.473243835948,1.02073296907618,396.472607216559,400.473880455338
"92%",92,1.96073816711018,398.474979386244,1.06480340548179,396.387964711499,400.561994060988
"93%",93,2.01611633092819,398.475999984411,1.11504751053308,396.290506863766,400.661493105056
"94%",94,2.08646480269135,398.476133333706,1.18491628885267,396.153697407555,400.798569259858
"95%",95,2.16323941543557,398.474793439276,1.2685175488092,395.98849904361,400.961087834942
"96%",96,2.23705577259498,398.472043320055,1.35574609225704,395.814780979231,401.129305660879
"97%",97,2.29824547215956,398.468677237418,1.43288513075359,395.660222381141,401.277132093695
"98%",98,2.44732205669496,398.456354222504,1.63798271232559,395.245908106346,401.666800338662
"99%",99,2.68789877971807,398.424139834135,2.01581477312425,394.473142878811,402.375136789458
"100%",100,3.22428242823344,398.29750965357,3.04019245934652,392.338732433251,404.256286873889
