"","percentile","logLoginsPerExaminee","meanScale2014","SE","lowerCL","upperCL"
"43%",43,0.0576711054396401,397.441141466899,0.51957633913036,396.422771842203,398.459511091594
"44%",44,0.0792029325704335,397.450713666295,0.520197935067331,396.431125713563,398.470301619027
"45%",45,0.11331372605985,397.465877977009,0.521356218142379,396.44401978945,398.487736164569
"46%",46,0.162781502505537,397.487869395433,0.523411337032756,396.461983174849,398.513755616017
"47%",47,0.232403025394508,397.518820373042,0.527047048575459,396.485808157834,398.551832588249
"48%",48,0.253963822115158,397.528405451173,0.528346836126068,396.492845652366,398.56396524998
"49%",49,0.267528413646713,397.534435732491,0.529206227946659,396.497191525715,398.571679939266
"50%",50,0.296571298621047,397.547347051365,0.531153603752839,396.506285988009,398.58840811472
"51%",51,0.314582500411844,397.555354119872,0.532434244089392,396.511783001456,398.598925238287
"52%",52,0.355205523057769,397.573413510304,0.53552528470537,396.523783952281,398.623043068326
"53%",53,0.410395462164044,397.597948776104,0.540167250629179,396.539220964871,398.656676587337
"54%",54,0.446068163315069,397.613807449237,0.543433384281447,396.548678016046,398.678936882429
"55%",55,0.49034320806873,397.633490384369,0.547770815156455,396.559859586662,398.707121182076
"56%",56,0.523676237473879,397.64830893191,0.55123945772355,396.567879594771,398.728738269048
"57%",57,0.565113308079342,397.666730215893,0.555789300255239,396.577383187392,398.756077244393
"58%",58,0.612875441102,397.687963372658,0.561352882660617,396.587711722643,398.788215022673
"59%",59,0.643258017140745,397.701470265234,0.565065542135615,396.593941802648,398.80899872782
"60%",60,0.666355679805684,397.711738573227,0.567976343597433,396.598504939776,398.824972206678
"61%",61,0.677790485620094,397.716822035984,0.569445209261794,396.600709425831,398.832934646138
"62%",62,0.709408287165817,397.730878061005,0.573601223665146,396.606619662621,398.855136459389
"63%",63,0.749432109030185,397.74867107045,0.579057507573219,396.613718355606,398.883623785293
"64%",64,0.784087447409252,397.764077464301,0.583953856744649,396.619527905082,398.908627023521
"65%",65,0.802022811607297,397.772050818412,0.586549161186014,396.622414462487,398.921687174336
"66%",66,0.85657244639544,397.796301430218,0.594692787086154,396.630703567529,398.961899292906
"67%",67,0.933467609735317,397.830485980913,0.60678791637771,396.641181664813,399.019790297014
"68%",68,0.97998929321843,397.851167682836,0.614439259541194,396.646866734136,399.055468631537
"69%",69,1.01064776486017,397.864797227695,0.619613582472728,396.650354606048,399.079239849341
"70%",70,1.08401715218908,397.897414357716,0.632404874812702,396.657900803083,399.136927912349
"71%",71,1.1333693928733,397.919354413506,0.641319610671575,396.66236797659,399.176340850422
"72%",72,1.18176160914129,397.940867680381,0.650292028691783,396.666295304145,399.215440056617
"73%",73,1.20948056636027,397.953190433297,0.655530837387782,396.668349992017,399.238030874577
"74%",74,1.25911211745835,397.975254659458,0.665085527383798,396.671687025786,399.27882229313
"75%",75,1.28126625958979,397.98510351551,0.669420679650952,396.673038983395,399.297168047626
"76%",76,1.32089553783041,398.002721126453,0.677279998787362,396.67525232883,399.330189924076
"77%",77,1.36551513750191,398.022557237084,0.686284662216998,396.677439299139,399.367675175029
"78%",78,1.3931997974739,398.0348647428,0.691951876715428,396.678639064438,399.391090421162
"79%",79,1.43128762148145,398.051797084109,0.699845792530817,396.680099330748,399.423494837469
"80%",80,1.45765297832808,398.063518079794,0.705374252750229,396.680984544404,399.446051615185
"81%",81,1.50167453413946,398.08308832376,0.714718122992735,396.682240802694,399.483935844826
"82%",82,1.52335885057206,398.092728313874,0.719371377633704,396.682760413712,399.502696214037
"83%",83,1.53459054364827,398.097721480735,0.721794429021417,396.683004399853,399.512438561617
"84%",84,1.5602462995233,398.109127015873,0.727361513202539,396.683498449996,399.53475558175
"85%",85,1.63908347498272,398.144174908408,0.744739988764624,396.68448453043,399.603865286387
"86%",86,1.66842313294603,398.157218160825,0.751307959490884,396.684654560223,399.629781761427
"87%",87,1.70893764963752,398.175229313798,0.760463219898668,396.684721402796,399.665737224799
"88%",88,1.72548973720179,398.182587717784,0.76423144374001,396.684694088054,399.680481347515
"89%",89,1.77021530431103,398.20247093735,0.774492042010449,396.68446653501,399.720475339691
"90%",90,1.83487550903569,398.231216308976,0.789520898027608,396.683755348842,399.77867726911
"91%",91,1.90765261917076,398.263570135964,0.806697624658852,396.682442791633,399.844697480296
"92%",92,1.96073816711018,398.287169872618,0.819391740552156,396.681162061136,399.893177684101
"93%",93,2.01611633092819,398.311788815687,0.832774662528173,396.679550477132,399.944027154242
"94%",94,2.08646480269135,398.343062966036,0.849971849476715,396.677118141061,400.00900779101
"95%",95,2.16323941543557,398.377193924701,0.868976560604085,396.673999865917,400.080387983485
"96%",96,2.23705577259498,398.410009759845,0.887467489686604,396.670573480059,400.149446039631
"97%",97,2.29824547215956,398.437212282032,0.902948299063613,396.667433615867,400.206990948197
"98%",98,2.44732205669496,398.503485839956,0.941199782847471,396.658734265575,400.348237414338
"99%",99,2.68789877971807,398.610436743333,1.00434529781788,396.64191995961,400.578953527056
"100%",100,3.22428242823344,398.848891715387,1.15008377766475,396.594727511164,401.10305591961
