Charter,Magnet.,Title.I.School.,locationRural,locationSize,Students.,SeniorHigh,numOfStud2014,meanScale2012,lev1Perc2012,lev5Perc2012,perc.free.lunch,perc.reduced.lunch,logLoginsPerExaminee,meanScale2014
0,0,0,0,1,1650,0,0.7103192283837082,1.3212036794928488,-1.1898034796485282,0.9070340019466278,-1.100755243076389,-0.3542211293617711,0.524585936606208,407.0
0,1,1,0,0,638,0,-1.2141751870715491,0.33902058512857686,-0.8535057137920357,-0.42439205595667906,1.161867579406168,-1.020642274075252,1.08518926833597,392.0
1,0,1,0,0,401,0,-1.416359425271129,-0.5538731370207614,0.49168534963393423,-0.6906772675373404,-0.886782354283185,-2.2125508256931368,0.810930216216329,386.0
0,0,1,0,1,293,0,-1.6335202737077144,-1.5360562313850334,1.6687275301316578,0.10817836720464369,1.8978700893895457,0.44772509245745723,1.6902900090632,383.0
0,0,0,1,2,1684,1,0.32841566734005784,1.231914307277915,-0.8535057137920357,1.4396044251079505,-1.9774246013021728,-1.4659683138548978,-3.15344801954575,405.0
0,0,1,0,0,2477,0,0.313439057103052,-0.9110306258804967,0.9120575569545498,0.10817836720464369,-0.12357743372299494,0.5560806346476382,-0.322944084420161,386.0
0,0,1,1,2,604,0,-1.536172307167176,-0.4645837648058275,0.07131314231331863,-0.6906772675373404,0.5311577692718892,0.19853269396445059,1.37845118365886,414.0
0,0,1,0,0,2045,1,1.3992432992859793,-0.8217412536655628,0.6598342325621804,-0.42439205595667906,1.0639674456378343,1.78503949308415,-0.508469910073532,396.0
0,1,1,0,1,1041,0,0.24604431103652544,-0.10742627594609225,0.15538758377744175,-0.15810684437601769,-0.0755458334131407,-0.3188827352782646,-4.90527477843843,399.0
0,0,1,0,0,1269,0,-0.15083586024413076,-0.4645837648058275,0.323536466705688,-0.42439205595667906,0.7478705793774186,0.7158454611958353,0.323885121115742,386.0
0,1,1,0,0,826,0,-0.9296195925684373,-0.4645837648058275,0.15538758377744175,-0.42439205595667906,1.5012764544192907,-1.5062164459222624,1.91117997045418,392.0
0,1,0,0,0,2910,0,1.1970590610863998,-1.0003199980954305,1.080206439882796,-0.6906772675373404,0.11888545275322068,-0.02733774181851009,2.77996072645227,391.0
0,0,1,0,0,1702,0,0.3658571929325726,-1.8039243480298348,1.836876413059904,-0.6906772675373404,0.7774773312364199,1.485872080546688,-0.435635985741528,385.0
0,0,0,0,2,1127,0,-0.6001341673543076,0.7854674462032459,-0.34905906500729694,-0.15810684437601769,-0.6800480501913497,-0.9759287760929776,-3.66995144422842,399.0
0,0,0,1,2,2078,0,-0.4578563701027516,-0.732451881450629,0.6598342325621804,-0.6906772675373404,-1.3875418986249775,-1.1340408004576945,2.08581324465253,387.0
0,1,1,0,2,2092,0,1.0772461791903525,-0.9110306258804967,1.080206439882796,-0.6906772675373404,0.3372870874187775,-0.34475534361186133,-0.504720066203506,401.0
0,0,1,0,0,1030,0,-1.0194792539904727,-0.5538731370207614,0.4076109081698111,-0.42439205595667906,-0.26334513575000357,0.05360161477605502,1.93166489391926,412.0
0,1,1,0,0,604,0,-1.259105017782567,1.9462292849973857,-1.2738779211126512,1.1733192135272892,-0.30037865205620856,1.9330745857762106,0.309188277672745,427.0
0,0,0,0,1,1567,1,0.6279478720801758,-0.3752943925908937,0.07131314231331863,-0.6906772675373404,0.08676241368696973,-0.20103043207889332,-1.6605672589567,397.0
0,0,1,0,2,947,0,-0.29311365749568674,2.1248080294272533,-1.3579523625767744,3.0373156945919186,0.8045938622543912,0.5848322988957302,-1.65068087096815,398.0
0,0,1,0,2,1249,1,0.14120803937748416,0.4283099573435107,-0.8535057137920357,-0.42439205595667906,-0.5491610680789917,-0.12456739572075784,-5.54517744447956,398.0
0,0,1,1,2,1372,0,-1.4762658662191523,0.8747568184181798,-1.021654596720282,-0.15810684437601769,-0.29501423373115854,-0.4530267284061595,1.2947271675944,401.0
0,0,1,1,2,1115,1,-1.0644090847014902,-1.0896093703103642,0.9120575569545498,-0.6906772675373404,-0.8339868633498402,-0.607630652221484,0.266404674004496,388.0
0,1,1,0,0,1835,1,0.14120803937748416,-0.6431625092356952,0.9120575569545498,0.10817836720464369,0.3254647086583659,1.6817846015520534,0.653301272012746,412.0
0,0,0,0,0,1763,0,0.013906852362934074,0.6961780739883121,-0.34905906500729694,0.9070340019466278,-1.2450130986117118,-1.046140083372031,1.16210423723501,410.0
0,0,0,0,0,2030,1,1.0997110945458615,0.07115246848377539,-0.1809101820790507,-0.15810684437601769,-0.32643770141970285,0.15522255005252542,-0.814844115537465,391.0
0,0,1,0,2,1325,0,0.3658571929325726,1.231914307277915,-0.7694312723279125,1.7058896366886118,0.07826250891690611,0.9029448834716715,-0.424883193965266,393.0
0,0,0,0,0,1371,0,-0.3904616240362251,-0.2860050203759599,0.323536466705688,-0.15810684437601769,0.8016390671448062,0.31259527050249053,-2.91777073208428,402.0
0,0,1,0,1,1606,0,-0.824783320909396,0.7854674462032459,-1.021654596720282,-0.42439205595667906,-0.4827874391094224,0.07034562000155775,0.951870664306781,406.0
